"interpro_accession","total_freq","inKaKs2","geneid_vec","interpro_description","geneid_vec_wKaKs2","expected_freq","IDlong","fisher_res","fisher_res_BF","fisher_res_Holm","fisher_res_BH","fisher_res_BY"
"IPR042116",2,0,"FUN_014045,FUN_015582","GTP-binding protein TypA/BipA, C-terminal",NA,0.00821627352239597,"GTP-binding protein TypA/BipA, C-terminal IPR042116",1,1,1,1,1
"IPR042117",2,0,"FUN_015601,FUN_015146","OMPP1/FadL/TodX superfamily",NA,0.00821627352239597,"OMPP1/FadL/TodX superfamily IPR042117",1,1,1,1,1
"IPR042118",1,0,"FUN_013297","QueA, domain 1",NA,0.00410813676119799,"QueA, domain 1 IPR042118",1,1,1,1,1
"IPR042119",1,0,"FUN_013297","QueA, domain 2",NA,0.00410813676119799,"QueA, domain 2 IPR042119",1,1,1,1,1
"IPR042120",4,0,"FUN_001731,FUN_005714,FUN_013119,FUN_015711","MutL, C-terminal domain, dimerisation subdomain",NA,0.0164325470447919,"MutL, C-terminal domain, dimerisation subdomain IPR042120",1,1,1,1,1
"IPR042121",4,0,"FUN_001731,FUN_005714,FUN_013119,FUN_015711","MutL, C-terminal domain, regulatory subdomain",NA,0.0164325470447919,"MutL, C-terminal domain, regulatory subdomain IPR042121",1,1,1,1,1
"IPR042122",1,0,"FUN_015994","Serine acetyltransferase, N-terminal domain superfamily",NA,0.00410813676119799,"Serine acetyltransferase, N-terminal domain superfamily IPR042122",1,1,1,1,1
"IPR042128",1,0,"FUN_009407","NuoE domain",NA,0.00410813676119799,"NuoE domain IPR042128",1,1,1,1,1
"IPR042159",4,0,"FUN_012762,FUN_012033,FUN_016399,FUN_015629","Flavin-trafficking protein ApbE",NA,0.0164325470447919,"Flavin-trafficking protein ApbE IPR042159",1,1,1,1,1
"IPR042171",3,0,"FUN_014563,FUN_012634,FUN_013973","Acyl-CoA thioesterase, double hotdog domain",NA,0.012324410283594,"Acyl-CoA thioesterase, double hotdog domain IPR042171",1,1,1,1,1
"IPR042172",5,0,"FUN_013455,FUN_013455,FUN_015279,FUN_015279,FUN_015279","Adenosylhomocysteinase-like superfamily",NA,0.0205406838059899,"Adenosylhomocysteinase-like superfamily IPR042172",1,1,1,1,1
"IPR042173",1,0,"FUN_013704","Ribonuclease J, domain 2",NA,0.00410813676119799,"Ribonuclease J, domain 2 IPR042173",1,1,1,1,1
